Date,Open,High,Low,Close,Volume,Adj Close
01-11-2007,1728.4,1799.8,1425,1716.15,3126100,289.98
01-10-2007,1440,1718.4,1305,1653.4,2810000,279.38
03-09-2007,1218.3,1459,1140.55,1435.6,2275000,242.58
01-08-2007,1188.9,1197,1051.2,1171.7,3137800,197.98
02-07-2007,1165,1255,1122.1,1200.6,2733800,202.87
01-06-2007,229.4,1184.2,228.2,1146.75,2895700,193.77
03-05-2007,1025,1159.85,957.55,1147.6,4268800,193.91
02-04-2007,910.1,1045,894.9,1024.15,3038600,167.2
01-03-2007,960,1032,883.55,954.15,3490200,155.77
01-02-2007,1080.05,1125,900,935,3494000,152.65
02-01-2007,1079.8,1160,981.1,1078.6,2788800,176.09
01-12-2006,1125,1134.8,991.25,1067.95,2030600,174.35
01-11-2006,1014.4,1150,985.15,1121.8,2863000,183.14
03-10-2006,930,1064.95,886.3,1004.6,2848400,164.01
01-09-2006,852.5,954.7,815.15,925.35,1900100,151.07
01-08-2006,796,870,156.02,852.05,1673400,139.11
03-07-2006,800,816,680,795,2026000,129.79
01-06-2006,760,814.8,128.8,795.95,2649100,129.95
02-05-2006,839,895,143.05,149.04,2999800,24.33
03-04-2006,774.25,865,148.18,163.47,3205000,25.85
01-03-2006,735,812,147.3,774.25,2826800,122.41
01-02-2006,765,775,144.5,737.15,2790800,116.55
02-01-2006,708.75,775,144.42,762.45,2664600,120.55
01-12-2005,687.1,748.5,676.5,708.75,1708500,112.06
01-11-2005,124.8,707,124.02,686.9,3575800,108.6
03-10-2005,685.15,715,603,606.65,2176000,95.91
01-09-2005,649.65,740,142.22,685.15,2446400,108.33
01-08-2005,689.9,765,125.98,640.25,1768600,101.23
01-07-2005,123.25,730,122.6,699.45,3081700,110.59
01-06-2005,541.5,642.95,107.1,636.05,2136400,100.56
02-05-2005,535,554.9,105.7,539.55,1034600,85.31
01-04-2005,546,632.25,109.01,535,1167500,81.06
01-03-2005,587,625,114.2,544.85,1446300,82.56
01-02-2005,566,599.85,550.25,587.3,1592800,88.99
03-01-2005,516.05,570,97.2,564.6,2966800,85.55
01-12-2004,499.1,529.95,93.8,520.35,1948100,78.84
01-11-2004,423,504.4,95.84,496.7,1970600,75.26
01-10-2004,409.8,425,80.28,83.02,1480600,12.58
01-09-2004,368,416.7,76.45,402,2983200,60.91
02-08-2004,375,381.9,73.66,367.65,916300,55.71
01-07-2004,370,379.5,73.4,375.2,1347600,56.85
01-06-2004,356,392,346,369.7,1421300,56.02
03-05-2004,375,395,256.15,351.25,1286000,53.22
01-04-2004,382.4,400,75.41,378.05,1216500,54.66
01-03-2004,376.9,400,335.15,378.75,1245100,54.76
03-02-2004,340,383.4,325.5,374.65,1559100,54.17
01-01-2004,363,406.75,300.55,344.95,2872700,49.88
01-12-2003,307,385.05,304,365.1,2450100,52.79
03-11-2003,320.5,323,53.1,302.6,1586200,43.75
01-10-2003,277,329.9,59.2,316.05,2324100,45.7
01-09-2003,275,291,263.15,275,1457400,39.76
01-08-2003,266.5,291.6,235.05,275.7,1123100,39.86
01-07-2003,264.95,303.5,252.55,265.35,1554100,38.37
02-06-2003,243.05,267.2,239,258.05,1062700,37.31
02-05-2003,247.95,257,239.05,245.1,537600,35.44
01-04-2003,233.05,250,231,247,750100,35.71
03-03-2003,250.05,252.25,47.6,234.55,445700,31.84
03-02-2003,222,256,222,249.85,741100,33.91
01-01-2003,219.9,243.45,209.9,237.1,634700,32.18
02-12-2002,195.9,223,187.3,216.05,826500,29.33
01-11-2002,189,200.05,38.97,39.01,565800,5.3
01-10-2002,216.1,217,186,189.9,557200,25.78
02-09-2002,210.9,226,208.35,218.6,251000,29.67
01-08-2002,42.79,215,41.5,209.55,284000,28.44
01-07-2002,40,43.82,40,42.55,391800,5.78
03-06-2002,46.2,47,39.95,40.31,439000,5.47
02-05-2002,44.09,46.45,40.11,45.88,449800,6.23
01-04-2002,48.3,48.3,43.7,43.92,467400,5.62
01-03-2002,46.4,48.28,45.71,47.32,297500,6.05
01-02-2002,45.2,51,44,46.72,563000,5.98
01-01-2002,45.6,50.8,44.01,44.94,318200,5.75
03-12-2001,44.2,47.2,42.8,45.12,434700,5.77
01-11-2001,43.6,46.6,43.04,44.43,669900,5.68
01-10-2001,43.3,47.6,39,43.54,403600,5.57
03-09-2001,47.6,47.78,36.82,43.42,459400,5.56
01-08-2001,47.5,48.2,45.24,47.31,274300,6.05
02-07-2001,42.8,47.16,39.91,46.84,545600,5.99
01-06-2001,46.28,46.94,39.42,41.92,512400,5.36
02-05-2001,44.1,48.94,44.1,45.98,450700,5.88
02-04-2001,45.24,50,43,46.08,456000,5.9
01-03-2001,52.4,54.94,42.11,45.67,633000,5.6
01-02-2001,50.8,55.8,47.8,51.31,1247700,6.29
01-01-2001,44.98,51.9,43.8,50.78,1183400,6.23
01-12-2000,44.05,48.8,42,44.56,1081300,5.46
01-11-2000,50.89,50.89,42.81,44.23,715500,5.42
03-10-2000,46.8,50.98,44.4,50.11,562200,6.14
04-09-2000,48,49.8,39.4,46.85,658500,5.74
01-08-2000,47.18,51.58,43.6,47.87,642900,5.87
03-07-2000,50.62,57,44.52,46.58,683000,5.71
